CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)
HOXC10	HOXC10	HOXC10	HOXC10	HOXC10	-0.061454143	46.08758509
HOXC9	HOXC9	HOXC9	HOXC9	HOXC9	-0.100502051	43.29859647
HOXC8	HOXC8	HOXC8	HOXC8	HOXC8	-0.014748375	49.28016385
HOXC6	HOXC6	HOXC6	HOXC6	HOXC6	0.130520552	59.56870068
HOXC5	HOXC5	HOXC5	HOXC5	HOXC5	-0.063638701	45.94903921
HOXC4	HOXC4	HOXC4	HOXC4	HOXC4	-0.257797899	33.63652792
SMUG1	SMUG1	SMUG1	SMUG1	SMUG1	-0.026775439	48.42479369
CBX5	CBX5	CBX5	CBX5	CBX5	-0.007871903	49.79820493
NFE2	NFE2	NFE2	NFE2	NFE2	-0.597228866	18.51093308
COPZ1	COPZ1	COPZ1	COPZ1	COPZ1	0.164418271	61.64688874
GPR84	GPR84	GPR84	GPR84	GPR84	1.199759609	93.75941208
ZNF385A	ZNF385A	ZNF385A	ZNF385A	ZNF385A	-0.162201714	39.06993555
ITGA5	ITGA5	ITGA5	ITGA5	ITGA5	-1.344901846	4.999698813
GTSF1	GTSF1	GTSF1	GTSF1	GTSF1	0.053045793	54.07505572
PDE1B	PDE1B	PDE1B	PDE1B	PDE1B	-0.540839167	20.25179206
LACRT	LACRT	LACRT	LACRT	LACRT	-0.079414324	44.83464852
DCD	DCD	DCD	DCD	DCD	0.23064893	65.41172219
MUCL1	MUCL1	MUCL1	MUCL1	MUCL1	0.671616257	84.07927233
NEUROD4	NEUROD4	NEUROD4	NEUROD4	NEUROD4	0.445732041	76.0737305
METTL7B	METTL7B	METTL7B	METTL7B	METTL7B	0.600067483	81.8806096
ITGA7	ITGA7	ITGA7	ITGA7	ITGA7	-0.162073967	39.08198301
BLOC1S1	BLOC1S1	BLOC1S1	BLOC1S1	BLOC1S1	0.184723951	62.89982531
CD63	CD63	CD63	CD63	CD63	-0.117059506	42.09384977
GDF11	GDF11	GDF11	GDF11	GDF11	-0.331525455	29.67291127
SARNP	SARNP	SARNP	SARNP	SARNP	-0.256235389	33.72688392
ORMDL2	ORMDL2	ORMDL2	ORMDL2	ORMDL2	-0.013184334	49.36449611
DNAJC14	DNAJC14	DNAJC14	DNAJC14	DNAJC14	-0.452899797	23.66122523
MMP19	MMP19	MMP19	MMP19	MMP19	0.961835834	90.37407385
DGKA	DGKA	DGKA	DGKA	DGKA	-0.893088995	10.90295765
PMEL	PMEL	PMEL	PMEL	PMEL	0.015858227	51.48485031
CDK2	CDK2	CDK2	CDK2	CDK2	-0.157671571	39.38919342
RAB5B	RAB5B	RAB5B	RAB5B	RAB5B	0.143329969	60.32166737
SUOX	SUOX	SUOX	SUOX	SUOX	-0.026937207	48.35250889
PA2G4	PA2G4	PA2G4	PA2G4	PA2G4	-0.05457809	46.45503283
ZC3H10	ZC3H10	ZC3H10	ZC3H10	ZC3H10	-0.436181884	24.49250045
ESYT1	ESYT1	ESYT1	ESYT1	ESYT1	-1.321636746	5.21655322
MYL6B	MYL6B	MYL6B	MYL6B	MYL6B	-0.29013162	31.73905186
MYL6	MYL6	MYL6	MYL6	MYL6	0.069603354	55.17739895
SMARCC2	SMARCC2	SMARCC2	SMARCC2	SMARCC2	-1.460040794	4.186494789
RNF41	RNF41	RNF41	RNF41	RNF41	-0.273574099	32.70887296
NABP2	NABP2	NABP2	NABP2	NABP2	-0.289350514	31.80531293
SLC39A5	SLC39A5	SLC39A5	SLC39A5	SLC39A5	0.688623976	84.56719475
CS	CS	CS	CS	CS	0.126772406	59.30365641
CNPY2	CNPY2	CNPY2	CNPY2	CNPY2	0.003373183	50.61743268
PAN2	PAN2	PAN2	PAN2	PAN2	-0.807500918	12.69803024
IL23A	IL23A	IL23A	IL23A	IL23A	-0.314186872	30.58249503
STAT2	STAT2	STAT2	STAT2	STAT2	-1.146786977	7.029697006
TIMELESS	TIMELESS	TIMELESS	TIMELESS	TIMELESS	-0.579787857	19.07716403
MIP	MIP	MIP	MIP	MIP	-0.133616959	41.01560147
SPRYD4	SPRYD4	SPRYD4	SPRYD4	SPRYD4	0.019148579	51.62339618
GLS2	GLS2	GLS2	GLS2	GLS2	-0.908865594	10.54755738
RBMS2	RBMS2	RBMS2	RBMS2	RBMS2	-0.989315295	9.138003735
ATP5B	ATP5B	ATP5B	ATP5B	ATP5B	0.001026978	50.47888681
HSD17B6	HSD17B6	HSD17B6	HSD17B6	HSD17B6	0.405120656	74.34491898
SDR9C7	SDR9C7	SDR9C7	SDR9C7	SDR9C7	-0.102847524	43.09378953
GPR182	GPR182	GPR182	GPR182	GPR182	-0.442274896	24.22745618
TAC3	TAC3	TAC3	TAC3	TAC3	0.226900985	65.21293898
MYO1A	MYO1A	MYO1A	MYO1A	MYO1A	1.303211695	94.74128065
NAB2	NAB2	NAB2	NAB2	NAB2	-0.40759676	25.80567436
STAT6	STAT6	STAT6	STAT6	STAT6	-0.5199132	20.89030781
LRP1	LRP1	LRP1	LRP1	LRP1	-6.449929633	0.048189868
NXPH4	NXPH4	NXPH4	NXPH4	NXPH4	-0.088474859	44.17806156
SHMT2	SHMT2	SHMT2	SHMT2	SHMT2	-0.248897265	34.18468767
NDUFA4L2	NDUFA4L2	NDUFA4L2	NDUFA4L2	NDUFA4L2	0.095222166	57.02066141
STAC3	STAC3	STAC3	STAC3	STAC3	-0.090038559	44.05758689
R3HDM2	R3HDM2	R3HDM2	R3HDM2	R3HDM2	-0.483668917	22.37816999
INHBC	INHBC	INHBC	INHBC	INHBC	0.277190566	67.94771399
INHBE	INHBE	INHBE	INHBE	INHBE	-0.090038559	44.05758689
GLI1	GLI1	GLI1	GLI1	GLI1	-0.810642683	12.6197217
ARHGAP9	ARHGAP9	ARHGAP9	ARHGAP9	ARHGAP9	0.934655061	89.87410397
MARS	MARS	MARS	MARS	MARS	-0.325135237	29.90783688
DDIT3	DDIT3	DDIT3	DDIT3	DDIT3	-0.092223322	43.88892235
MBD6	MBD6	MBD6	MBD6	MBD6	0.170649374	61.99024155
KIF5A	KIF5A	KIF5A	KIF5A	KIF5A	-2.009371446	1.951689657
PIP4K2C	PIP4K2C	PIP4K2C	PIP4K2C	PIP4K2C	-0.829041249	12.19203662
ARHGEF25	ARHGEF25	ARHGEF25	ARHGEF25	ARHGEF25	-0.090200263	44.03349196
SLC26A10	SLC26A10	SLC26A10	SLC26A10	SLC26A10	1.056658091	91.81976989
B4GALNT1	B4GALNT1	B4GALNT1	B4GALNT1	B4GALNT1	-0.513035719	21.15535209
AGAP2	AGAP2	AGAP2	AGAP2	AGAP2	-0.672682663	16.18577194
TSPAN31	TSPAN31	TSPAN31	TSPAN31	TSPAN31	-0.281071731	32.23902175
CDK4	CDK4	CDK4	CDK4	CDK4	-0.480543862	22.53478706
CYP27B1	CYP27B1	CYP27B1	CYP27B1	CYP27B1	-0.476171935	22.73357027
METTL1	METTL1	METTL1	METTL1	METTL1	-0.720632494	14.9027167
METTL21B	METTL21B	METTL21B	METTL21B	METTL21B	-0.010218005	49.59339799
TSFM	TSFM	TSFM	TSFM	TSFM	0.627868775	82.83838323
AVIL	AVIL	AVIL	AVIL	AVIL	0.768291669	86.53695561
LRIG3	LRIG3	LRIG3	LRIG3	LRIG3	-0.69316037	15.70387326
SLC16A7	SLC16A7	SLC16A7	SLC16A7	SLC16A7	-0.112690068	42.31672791
FAM19A2	FAM19A2	FAM19A2	FAM19A2	FAM19A2	0.284853216	68.38744654
USP15	USP15	USP15	USP15	USP15	-0.929172957	10.1560147
AVPR1A	AVPR1A	AVPR1A	AVPR1A	AVPR1A	0.143948573	60.3457623
TMEM5	TMEM5	TMEM5	TMEM5	TMEM5	0.061943941	54.6473104
SRGAP1	SRGAP1	SRGAP1	SRGAP1	SRGAP1	-0.980584408	9.264502138
TBK1	TBK1	TBK1	TBK1	TBK1	-0.608633889	18.04108186
RASSF3	RASSF3	RASSF3	RASSF3	RASSF3	0.19971623	63.86964641
GNS	GNS	GNS	GNS	GNS	-1.006654701	8.891030661
WIF1	WIF1	WIF1	WIF1	WIF1	-0.160016487	39.27474249
LEMD3	LEMD3	LEMD3	LEMD3	LEMD3	-0.490545806	22.14324438
MSRB3	MSRB3	MSRB3	MSRB3	MSRB3	-0.21937153	35.85928559
LLPH	LLPH	LLPH	LLPH	LLPH	-0.032708307	48.01517981
IRAK3	IRAK3	IRAK3	IRAK3	IRAK3	1.168041346	93.26546594
HELB	HELB	HELB	HELB	HELB	0.94731787	90.11505331
CAND1	CAND1	CAND1	CAND1	CAND1	-1.832496086	2.457683272
DYRK2	DYRK2	DYRK2	DYRK2	DYRK2	-1.02477638	8.65008132
IFNG	IFNG	IFNG	IFNG	IFNG	-0.210311488	36.33516053
IL26	IL26	IL26	IL26	IL26	0.123024262	58.98439853
IL22	IL22	IL22	IL22	IL22	0.229866037	65.36353232
MDM1	MDM1	MDM1	MDM1	MDM1	0.176119609	62.3576893
RAP1B	RAP1B	RAP1B	RAP1B	RAP1B	-0.044735561	47.15980965
NUP107	NUP107	NUP107	NUP107	NUP107	-0.983546988	9.21631227
MDM2	MDM2	MDM2	MDM2	MDM2	-0.704074472	15.36654418
CPM	CPM	CPM	CPM	CPM	-0.156268027	39.49762063
CPSF6	CPSF6	CPSF6	CPSF6	CPSF6	-0.514440122	21.13125715
LYZ	LYZ	LYZ	LYZ	LYZ	0.585077313	81.49509066
YEATS4	YEATS4	YEATS4	YEATS4	YEATS4	-0.078632541	44.94909945
CCT2	CCT2	CCT2	CCT2	CCT2	-0.883246429	11.04752726
BEST3	BEST3	BEST3	BEST3	BEST3	0.060999925	54.56900187
RAB3IP	RAB3IP	RAB3IP	RAB3IP	RAB3IP	-0.813264159	12.5474369
KCNMB4	KCNMB4	KCNMB4	KCNMB4	KCNMB4	-0.144862671	40.32889585
PTPRR	PTPRR	PTPRR	PTPRR	PTPRR	0.288272923	68.58622975
TSPAN8	TSPAN8	TSPAN8	TSPAN8	TSPAN8	0.641462878	83.15161737
LGR5	LGR5	LGR5	LGR5	LGR5	0.086457043	56.37009819
THAP2	THAP2	THAP2	THAP2	THAP2	0.035706059	52.89440395
TMEM19	TMEM19	TMEM19	TMEM19	TMEM19	0.247823653	66.36949581
RAB21	RAB21	RAB21	RAB21	RAB21	0.077882139	55.7797723
TRHDE	TRHDE	TRHDE	TRHDE	TRHDE	-1.728588792	2.83115475
KCNC2	KCNC2	KCNC2	KCNC2	KCNC2	-0.310596629	30.76320704
CAPS2	CAPS2	CAPS2	CAPS2	CAPS2	0.685038828	84.48888621
GLIPR1L1	GLIPR1L1	GLIPR1L1	GLIPR1L1	GLIPR1L1	0.12598995	59.23739534
GLIPR1L2	GLIPR1L2	GLIPR1L2	GLIPR1L2	GLIPR1L2	0.162070636	61.50834287
GLIPR1	GLIPR1	GLIPR1	GLIPR1	GLIPR1	0.347951714	71.62821517
KRR1	KRR1	KRR1	KRR1	KRR1	-0.38729052	26.92006506
NAP1L1	NAP1L1	NAP1L1	NAP1L1	NAP1L1	-0.612225382	17.91458346
BBS10	BBS10	BBS10	BBS10	BBS10	-0.313725279	30.5945425
CSRP2	CSRP2	CSRP2	CSRP2	CSRP2	-0.215622819	36.07011626
E2F7	E2F7	E2F7	E2F7	E2F7	0.00226714	50.51502922
SYT1	SYT1	SYT1	SYT1	SYT1	-0.521938097	20.82404674
MYF6	MYF6	MYF6	MYF6	MYF6	0.855938653	88.494669
MYF5	MYF5	MYF5	MYF5	MYF5	-0.749218862	14.07144148
LIN7A	LIN7A	LIN7A	LIN7A	LIN7A	-0.14564424	40.26263478
ACSS3	ACSS3	ACSS3	ACSS3	ACSS3	-0.771248782	13.49316306
CCDC59	CCDC59	CCDC59	CCDC59	CCDC59	0.372005324	72.75465333
C12orf26	METTL25	METTL25	METTL25	METTL25	-0.20688414	36.47973014
TMTC2	TMTC2	TMTC2	TMTC2	TMTC2	-0.397295864	26.37792904
SLC6A15	SLC6A15	SLC6A15	SLC6A15	SLC6A15	-0.440872769	24.29371725
ALX1	ALX1	ALX1	ALX1	ALX1	0.281721284	68.18866333
NTS	NTS	NTS	NTS	NTS	0.123024262	58.98439853
MGAT4C	MGAT4C	MGAT4C	MGAT4C	MGAT4C	0.302026892	69.35726763
C12orf50	C12orf50	C12orf50	C12orf50	C12orf50	0.634581557	82.98897657
TMTC3	TMTC3	TMTC3	TMTC3	TMTC3	-0.878095501	11.13185953
DUSP6	DUSP6	DUSP6	DUSP6	DUSP6	-0.267639601	33.07029697
ATP2B1	ATP2B1	ATP2B1	ATP2B1	ATP2B1	-1.513290262	3.86121318
CCER1	CCER1	CCER1	CCER1	CCER1	0.210178176	64.36359255
KERA	KERA	KERA	KERA	KERA	-0.205940163	36.52792
LUM	LUM	LUM	LUM	LUM	-0.22921306	35.2689597
DCN	DCN	DCN	DCN	DCN	-0.539276683	20.29998193
BTG1	BTG1	BTG1	BTG1	BTG1	-0.161420196	39.14824408
NUDT4	NUDT4	NUDT4	NUDT4	NUDT4	0.371390341	72.7124872
MRPL42	MRPL42	MRPL42	MRPL42	MRPL42	0.011651944	51.1776399
SOCS2	SOCS2	SOCS2	SOCS2	SOCS2	-0.098938622	43.45521354
CRADD	CRADD	CRADD	CRADD	CRADD	0.121459379	58.85790013
PLXNC1	PLXNC1	PLXNC1	PLXNC1	PLXNC1	-1.708468566	2.879344618
NDUFA12	NDUFA12	NDUFA12	NDUFA12	NDUFA12	0.226118052	65.14065418
NR2C1	NR2C1	NR2C1	NR2C1	NR2C1	-0.273733368	32.64863562
METAP2	METAP2	METAP2	METAP2	METAP2	0.104119612	57.62303476
USP44	USP44	USP44	USP44	USP44	-0.123314944	41.67218842
NTN4	NTN4	NTN4	NTN4	NTN4	-0.126281104	41.42521535
SNRPF	SNRPF	SNRPF	SNRPF	SNRPF	0.079446938	55.91229444
CCDC38	CCDC38	CCDC38	CCDC38	CCDC38	0.99948387	91.03668454
AMDHD1	AMDHD1	AMDHD1	AMDHD1	AMDHD1	0.061161806	54.58707307
HAL	HAL	HAL	HAL	HAL	0.604272483	82.01313174
LTA4H	LTA4H	LTA4H	LTA4H	LTA4H	-0.995407572	9.047647732
ELK3	ELK3	ELK3	ELK3	ELK3	0.130357295	59.51448708
CDK17	CDK17	CDK17	CDK17	CDK17	-0.836539605	12.01734835
NEDD1	NEDD1	NEDD1	NEDD1	NEDD1	-0.519130584	20.91440275
TMPO	TMPO	TMPO	TMPO	TMPO	0.194080906	63.50219866
SLC25A3	SLC25A3	SLC25A3	SLC25A3	SLC25A3	-0.716883324	15.02319137
IKBIP	IKBIP	IKBIP	IKBIP	IKBIP	0.615676591	82.41672188
APAF1	APAF1	APAF1	APAF1	APAF1	-0.891865907	10.91500512
FAM71C	FAM71C	FAM71C	FAM71C	FAM71C	0.682074585	84.39853021
ACTR6	ACTR6	ACTR6	ACTR6	ACTR6	-0.427121997	24.92018553
DEPDC4	DEPDC4	DEPDC4	DEPDC4	DEPDC4	-0.143459104	40.44334679
SCYL2	SCYL2	SCYL2	SCYL2	SCYL2	-1.106172359	7.577856756
SLC17A8	SLC17A8	SLC17A8	SLC17A8	SLC17A8	-0.90136825	10.71019818
NR1H4	NR1H4	NR1H4	NR1H4	NR1H4	0.11083384	58.0808385
GAS2L3	GAS2L3	GAS2L3	GAS2L3	GAS2L3	-0.124097135	41.62399855
SLC5A8	SLC5A8	SLC5A8	SLC5A8	SLC5A8	0.535854679	79.72411301
UTP20	UTP20	UTP20	UTP20	UTP20	0.614767872	82.36853202
SPIC	SPIC	SPIC	SPIC	SPIC	0.496971722	78.09770496
MYBPC1	MYBPC1	MYBPC1	MYBPC1	MYBPC1	-1.345689638	4.99367508
CHPT1	CHPT1	CHPT1	CHPT1	CHPT1	0.017584362	51.55713511
SYCP3	SYCP3	SYCP3	SYCP3	SYCP3	-0.293880437	31.54629239
GNPTAB	GNPTAB	GNPTAB	GNPTAB	GNPTAB	-0.682704296	15.9990362
NUP37	NUP37	NUP37	NUP37	NUP37	0.071787024	55.35811096
PARPBP	PARPBP	PARPBP	PARPBP	PARPBP	0.067876284	55.05692428
IGF1	IGF1	IGF1	IGF1	IGF1	0.126772406	59.30365641
PAH	PAH	PAH	PAH	PAH	0.146132543	60.50840311
HSP90B1	HSP90B1	HSP90B1	HSP90B1	HSP90B1	-1.28144578	5.590024697
TDG	TDG	TDG	TDG	TDG	0.19971623	63.86964641
GLT8D2	GLT8D2	GLT8D2	GLT8D2	GLT8D2	0.759550965	86.3201012
HCFC2	HCFC2	HCFC2	HCFC2	HCFC2	-0.540839167	20.25179206
NFYB	NFYB	NFYB	NFYB	NFYB	-0.165168851	38.96150834
CHST11	CHST11	CHST11	CHST11	CHST11	-0.584420071	18.92657069
SLC41A2	SLC41A2	SLC41A2	SLC41A2	SLC41A2	-0.658930422	16.54719595
APPL2	APPL2	APPL2	APPL2	APPL2	0.67128486	84.06120113
CKAP4	CKAP4	CKAP4	CKAP4	CKAP4	-0.599573007	18.43262454
TCP11L2	TCP11L2	TCP11L2	TCP11L2	TCP11L2	0.286870296	68.50189748
POLR3B	POLR3B	POLR3B	POLR3B	POLR3B	-1.672979324	3.023914222
RFX4	RFX4	RFX4	RFX4	RFX4	-0.729070509	14.6316487
RIC8B	RIC8B	RIC8B	RIC8B	RIC8B	-0.271388172	32.7871815
C12orf23	C12orf23	C12orf23	C12orf23	C12orf23	0.120058673	58.80368652
MTERFD3	MTERFD3	MTERFD3	MTERFD3	MTERFD3	0.235796789	65.70086139
CRY1	CRY1	CRY1	CRY1	CRY1	-1.123348625	7.361002349
PWP1	PWP1	PWP1	PWP1	PWP1	-0.236088277	34.85934582
PRDM4	PRDM4	PRDM4	PRDM4	PRDM4	-1.324412506	5.192458286
FICD	FICD	FICD	FICD	FICD	-0.534905957	20.37829046
SART3	SART3	SART3	SART3	SART3	-1.497697679	3.927474249
ISCU	ISCU	ISCU	ISCU	ISCU	-0.065823479	45.81049334
TMEM119	TMEM119	TMEM119	TMEM119	TMEM119	0.243293061	66.12854647
CORO1C	CORO1C	CORO1C	CORO1C	CORO1C	-0.515221249	21.05897235
SSH1	SSH1	SSH1	SSH1	SSH1	-0.283126244	32.10649961
DAO	DAO	DAO	DAO	DAO	0.358413139	72.14023252
USP30	USP30	USP30	USP30	USP30	-0.277481774	32.43178122
UNG	UNG	UNG	UNG	UNG	0.128173442	59.36991747
FOXN4	FOXN4	FOXN4	FOXN4	FOXN4	0.396841813	73.95940004
KCTD10	KCTD10	KCTD10	KCTD10	KCTD10	-0.312000382	30.6848985
UBE3B	UBE3B	UBE3B	UBE3B	UBE3B	-2.422919179	1.156556834
MMAB	MMAB	MMAB	MMAB	MMAB	0.356230545	72.00168665
MVK	MVK	MVK	MVK	MVK	-0.235306466	34.90753569
FAM222A	FAM222A	FAM222A	FAM222A	FAM222A	0.66394959	83.79615686
TRPV4	TRPV4	TRPV4	TRPV4	TRPV4	-0.824059599	12.30046383
GLTP	GLTP	GLTP	GLTP	GLTP	-0.2615466	33.41967351
TCHP	TCHP	TCHP	TCHP	TCHP	0.842959467	88.26576712
GIT2	GIT2	GIT2	GIT2	GIT2	-1.208493386	6.46948979
ANKRD13A	ANKRD13A	ANKRD13A	ANKRD13A	ANKRD13A	-0.595824491	18.54105174
C12orf76	C12orf76	C12orf76	C12orf76	C12orf76	0.144895219	60.44214204
IFT81	IFT81	IFT81	IFT81	IFT81	-0.501790511	21.6794169
ATP2A2	ATP2A2	ATP2A2	ATP2A2	ATP2A2	-1.781239167	2.60827661
ANAPC7	ANAPC7	ANAPC7	ANAPC7	ANAPC7	-0.716883324	15.02319137
ARPC3	ARPC3	ARPC3	ARPC3	ARPC3	0.308906669	69.69459671
GPN3	GPN3	GPN3	GPN3	GPN3	-0.320279126	30.20299982
RAD9B	RAD9B	RAD9B	RAD9B	RAD9B	0.277973256	68.0199988
PPTC7	PPTC7	PPTC7	PPTC7	PPTC7	-0.120026379	41.91313776
PPP1CC	PPP1CC	PPP1CC	PPP1CC	PPP1CC	-0.264514169	33.23293777
CCDC63	CCDC63	CCDC63	CCDC63	CCDC63	1.521736996	96.28335642
FAM109A	FAM109A	FAM109A	FAM109A	FAM109A	0.406686869	74.41118005
SH2B3	SH2B3	SH2B3	SH2B3	SH2B3	-0.009597849	49.62351666
BRAP	BRAP	BRAP	BRAP	BRAP	-0.529593417	20.546955
ALDH2	ALDH2	ALDH2	ALDH2	ALDH2	-0.282012075	32.17878441
TMEM116	TMEM116	TMEM116	TMEM116	TMEM116	0.224552527	65.03222697
ERP29	ERP29	ERP29	ERP29	ERP29	0.269694467	67.51400518
NAA25	NAA25	NAA25	NAA25	NAA25	-0.506321076	21.45653876
TRAFD1	TRAFD1	TRAFD1	TRAFD1	TRAFD1	-0.212816161	36.17251973
RPL6	RPL6	RPL6	RPL6	RPL6	0.065072814	54.87621228
PTPN11	PTPN11	PTPN11	PTPN11	PTPN11	-0.626595584	17.49292211
DTX1	DTX1	DTX1	DTX1	DTX1	-1.258791392	5.80085537
RASAL1	RASAL1	RASAL1	RASAL1	RASAL1	0.40261237	74.16420698
C12orf52	C12orf52	C12orf52	C12orf52	RITA1	0.429957224	75.38100114
IQCD	IQCD	IQCD	IQCD	IQCD	0.144730842	60.41804711
PLBD2	PLBD2	PLBD2	PLBD2	PLBD2	0.081467411	56.04481658
SDS	SDS	SDS	SDS	SDS	-0.280448487	32.26311668
SDSL	SDSL	SDSL	SDSL	SDSL	0.494622461	77.98927775
LHX5	LHX5	LHX5	LHX5	LHX5	-0.244207823	34.48587434
RBM19	RBM19	RBM19	RBM19	RBM19	0.954042091	90.26564665
TBX5	TBX5	TBX5	TBX5	TBX5	-0.105193419	42.88295886
TBX3	TBX3	TBX3	TBX3	TBX3	-0.461799565	23.29377748
MED13L	MED13L	MED13L	MED13L	MED13L	-1.606592776	3.319077164
C12orf49	C12orf49	C12orf49	C12orf49	C12orf49	0.23736205	65.78519366
RNFT2	RNFT2	RNFT2	RNFT2	RNFT2	0.385598042	73.41124029
FBXW8	FBXW8	FBXW8	FBXW8	FBXW8	0.936216507	89.90422264
TESC	TESC	TESC	TESC	TESC	-0.156890075	39.47352569
FBXO21	FBXO21	FBXO21	FBXO21	FBXO21	-0.990095975	9.119932534
RFC5	RFC5	RFC5	RFC5	RFC5	-0.724381752	14.80031323
WSB2	WSB2	WSB2	WSB2	WSB2	-0.230776252	35.1966749
PEBP1	PEBP1	PEBP1	PEBP1	PEBP1	-0.07488405	45.20811999
TAOK3	TAOK3	TAOK3	TAOK3	TAOK3	-0.560525062	19.59520511
HSPB8	HSPB8	HSPB8	HSPB8	HSPB8	0.085378563	56.30986085
CCDC60	CCDC60	CCDC60	CCDC60	CCDC60	1.799530477	97.63869646
PRKAB1	PRKAB1	PRKAB1	PRKAB1	PRKAB1	-0.039584489	47.45497259
CIT	CIT	CIT	CIT	CIT	-3.107494611	0.632492019
RPLP0	RPLP0	RPLP0	RPLP0	RPLP0	-0.434619922	24.59490392
SIRT4	SIRT4	SIRT4	SIRT4	SIRT4	-0.094568847	43.75037648
PLA2G1B	PLA2G1B	PLA2G1B	PLA2G1B	PLA2G1B	-0.178759189	38.11216192
MSI1	MSI1	MSI1	MSI1	MSI1	-0.360110686	28.2392627
COX6A1	COX6A1	COX6A1	COX6A1	COX6A1	0.011651944	51.1776399
TRIAP1	TRIAP1	TRIAP1	TRIAP1	TRIAP1	0.178010681	62.5022589
SRSF9	SRSF9	SRSF9	SRSF9	SRSF9	-0.124556572	41.61195109
DYNLL1	DYNLL1	DYNLL1	DYNLL1	DYNLL1	0.062889226	54.75573761
RNF10	RNF10	RNF10	RNF10	RNF10	-1.593917825	3.3973857
POP5	POP5	POP5	POP5	POP5	-0.038020593	47.581471
CABP1	CABP1	CABP1	CABP1	CABP1	-0.11627782	42.14203964
MLEC	MLEC	MLEC	MLEC	MLEC	-0.199065318	36.96765255
ACADS	ACADS	ACADS	ACADS	ACADS	-0.154083398	39.64219023
SPPL3	SPPL3	SPPL3	SPPL3	SPPL3	-0.314967915	30.50418649
HNF1A	HNF1A	HNF1A	HNF1A	HNF1A	0.04522457	53.5509909
C12orf43	C12orf43	C12orf43	C12orf43	C12orf43	0.038672175	53.12330582
OASL	OASL	OASL	OASL	OASL	0.327481815	70.56803807
P2RX7	P2RX7	P2RX7	P2RX7	P2RX7	1.451745163	95.98216975
P2RX4	P2RX4	P2RX4	P2RX4	P2RX4	-0.050209112	46.68995844
CAMKK2	CAMKK2	CAMKK2	CAMKK2	CAMKK2	-0.081921597	44.63586531
ANAPC5	ANAPC5	ANAPC5	ANAPC5	ANAPC5	-0.782493406	13.27028492
RNF34	RNF34	RNF34	RNF34	RNF34	-0.646121638	16.92669116
RHOF	RHOF	RHOF	RHOF	RHOF	0.600851373	81.916752
HPD	HPD	HPD	HPD	HPD	0.003211164	50.58129028
PSMD9	PSMD9	PSMD9	PSMD9	PSMD9	0.959039353	90.32588398
BCL7A	BCL7A	BCL7A	BCL7A	BCL7A	-0.2615466	33.41967351
B3GNT4	B3GNT4	B3GNT4	B3GNT4	B3GNT4	0.000864996	50.46081561
DIABLO	DIABLO	DIABLO	DIABLO	DIABLO	0.186906841	63.01427625
VPS33A	VPS33A	VPS33A	VPS33A	VPS33A	-1.008999692	8.85488826
CLIP1	CLIP1	CLIP1	CLIP1	CLIP1	-1.40602183	4.493705198
HCAR2	HCAR2	HCAR2	HCAR2	HCAR2	0.09287498	56.81585447
HCAR1	HCAR1	HCAR1	HCAR1	HCAR1	-0.297005919	31.34148545
CCDC62	CCDC62	CCDC62	CCDC62	CCDC62	0.623173779	82.71188483
VPS37B	VPS37B	VPS37B	VPS37B	VPS37B	0.363726507	72.39322932
ABCB9	ABCB9	ABCB9	ABCB9	ABCB9	-1.148355368	6.999578339
PITPNM2	PITPNM2	PITPNM2	PITPNM2	PITPNM2	-1.148539903	6.987530872
MPHOSPH9	MPHOSPH9	MPHOSPH9	MPHOSPH9	MPHOSPH9	-0.296550774	31.35353292
C12orf65	C12orf65	C12orf65	C12orf65	C12orf65	-0.017714714	49.09342811
CDK2AP1	CDK2AP1	CDK2AP1	CDK2AP1	CDK2AP1	0.111779833	58.15914704
SBNO1	SBNO1	SBNO1	SBNO1	SBNO1	-2.009565928	1.945665924
SETD8	SETD8	SETD8	SETD8	SETD8	-0.047081258	46.90078911
RILPL2	RILPL2	RILPL2	RILPL2	RILPL2	-0.083162806	44.54550931
SNRNP35	SNRNP35	SNRNP35	SNRNP35	SNRNP35	-0.493352543	22.05891211
TMED2	TMED2	TMED2	TMED2	TMED2	-0.359329837	28.26938136
DDX55	DDX55	DDX55	DDX55	DDX55	-0.270767051	32.8052527
GTF2H3	GTF2H3	GTF2H3	GTF2H3	GTF2H3	-0.270606697	32.86549003
TCTN2	TCTN2	TCTN2	TCTN2	TCTN2	-0.89996867	10.72224565
ATP6V0A2	ATP6V0A2	ATP6V0A2	ATP6V0A2	ATP6V0A2	-0.295767769	31.39569905
DNAH10	DNAH10	DNAH10	DNAH10	DNAH10	1.751536787	97.43388952
CCDC92	CCDC92	CCDC92	CCDC92	CCDC92	-0.120186776	41.87699536
ZNF664	ZNF664	ZNF664	ZNF664	ZNF664	-0.066605292	45.75627974
FAM101A	FAM101A	FAM101A	FAM101A	FAM101A	0.378102365	73.04379254
SCARB1	SCARB1	SCARB1	SCARB1	SCARB1	-0.44305671	24.15517138
UBC	UBC	UBC	UBC	UBC	-0.815451532	12.51731823
DHX37	DHX37	DHX37	DHX37	DHX37	1.582420364	96.7291127
BRI3BP	BRI3BP	BRI3BP	BRI3BP	BRI3BP	-0.050829665	46.67791097
